Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US3710260,3710260,"Cape Carteret town, North Carolina",2217,190
1600000US3710460,3710460,"Caroleen CDP, North Carolina",737,314
1600000US3710500,3710500,"Carolina Beach town, North Carolina",6116,16
1600000US3710550,3710550,"Carolina Shores town, North Carolina",3771,14
1600000US3710620,3710620,"Carrboro town, North Carolina",21099,35
1600000US3710680,3710680,"Carthage town, North Carolina",2580,374
1600000US3710740,3710740,"Cary town, North Carolina",159715,315
1600000US3710760,3710760,"Casar town, North Carolina",261,80
1600000US3710800,3710800,"Cashiers CDP, North Carolina",64,63
1600000US3710860,3710860,"Castalia town, North Carolina",324,118
1600000US3710880,3710880,"Castle Hayne CDP, North Carolina",850,202
1600000US3710960,3710960,"Caswell Beach town, North Carolina",411,88
1600000US3710980,3710980,"Catawba town, North Carolina",525,119
1600000US3711340,3711340,"Cedar Point town, North Carolina",1735,144
1600000US3711352,3711352,"Cedar Rock village, North Carolina",245,69
1600000US3711560,3711560,"Centerville town, North Carolina",120,68
1600000US3711620,3711620,"Cerro Gordo town, North Carolina",160,56
1600000US3711640,3711640,"Chadbourn town, North Carolina",2110,455
1600000US3711800,3711800,"Chapel Hill town, North Carolina",59234,66
1600000US3712000,3712000,"Charlotte city, North Carolina",826060,115
1600000US3712140,3712140,"Cherokee CDP, North Carolina",2309,437
1600000US3712340,3712340,"Cherryville city, North Carolina",5854,26
1600000US3712460,3712460,"Chimney Rock Village village, North Carolina",88,39
1600000US3712480,3712480,"China Grove town, North Carolina",4144,29
1600000US3712580,3712580,"Chocowinity town, North Carolina",867,225
1600000US3712720,3712720,"Claremont city, North Carolina",1584,254
1600000US3712780,3712780,"Clarkton town, North Carolina",596,156
1600000US3712860,3712860,"Clayton town, North Carolina",19306,37
1600000US3712960,3712960,"Clemmons village, North Carolina",19844,40
1600000US3713000,3713000,"Cleveland town, North Carolina",1095,274
1600000US3713100,3713100,"Cliffside CDP, North Carolina",258,130
1600000US3713240,3713240,"Clinton city, North Carolina",8630,37
1600000US3713280,3713280,"Clyde town, North Carolina",1295,301
1600000US3713360,3713360,"Coats town, North Carolina",2255,389
1600000US3713460,3713460,"Cofield village, North Carolina",331,84
1600000US3713500,3713500,"Coinjock CDP, North Carolina",331,126
1600000US3713560,3713560,"Colerain town, North Carolina",236,87
1600000US3713940,3713940,"Columbia town, North Carolina",939,209
1600000US3713980,3713980,"Columbus town, North Carolina",1339,249
1600000US3714060,3714060,"Como town, North Carolina",86,45
1600000US3714100,3714100,"Concord city, North Carolina",87607,42
1600000US3714200,3714200,"Conetoe town, North Carolina",281,105
1600000US3714280,3714280,"Connelly Springs town, North Carolina",1531,291
1600000US3714340,3714340,"Conover city, North Carolina",8288,45
1600000US3714400,3714400,"Conway town, North Carolina",637,182
1600000US3714460,3714460,"Cooleemee town, North Carolina",949,266
1600000US3714600,3714600,"Cordova CDP, North Carolina",1974,567
1600000US3714700,3714700,"Cornelius town, North Carolina",28052,36
1600000US3715020,3715020,"Cove City town, North Carolina",415,144
1600000US3715040,3715040,"Cove Creek CDP, North Carolina",1022,288
1600000US3715260,3715260,"Cramerton town, North Carolina",4274,29
1600000US3715320,3715320,"Creedmoor city, North Carolina",4372,27
1600000US3715420,3715420,"Creswell town, North Carolina",272,98
1600000US3715440,3715440,"Cricket CDP, North Carolina",2035,290
1600000US3715580,3715580,"Crossnore town, North Carolina",192,87
1600000US3715880,3715880,"Cullowhee CDP, North Carolina",5753,502
1600000US3716180,3716180,"Dallas town, North Carolina",4592,25
1600000US3716220,3716220,"Dana CDP, North Carolina",3426,661
1600000US3716240,3716240,"Danbury town, North Carolina",178,74
1600000US3716400,3716400,"Davidson town, North Carolina",12325,188
1600000US3716480,3716480,"Davis CDP, North Carolina",350,168
1600000US3716730,3716730,"Deercroft CDP, North Carolina",453,148
1600000US3716780,3716780,"Delco CDP, North Carolina",274,133
1600000US3716820,3716820,"Dellview town, North Carolina",7,10
1600000US3716860,3716860,"Delway CDP, North Carolina",44,43
1600000US3716980,3716980,"Denton town, North Carolina",1745,290
1600000US3717000,3717000,"Denver CDP, North Carolina",2727,442
1600000US3717180,3717180,"Dillsboro town, North Carolina",258,95
1600000US3717325,3717325,"Dobbins Heights town, North Carolina",925,214
1600000US3717340,3717340,"Dobson town, North Carolina",1467,268
1600000US3717520,3717520,"Dortches town, North Carolina",1016,179
1600000US3717660,3717660,"Dover town, North Carolina",257,107
1600000US3717860,3717860,"Drexel town, North Carolina",1828,310
1600000US3718040,3718040,"Dublin town, North Carolina",296,122
1600000US3718060,3718060,"Duck town, North Carolina",531,83
1600000US3718300,3718300,"Dundarrach CDP, North Carolina",55,69
1600000US3718320,3718320,"Dunn city, North Carolina",9657,40
1600000US3719000,3719000,"Durham city, North Carolina",257232,80
1600000US3719140,3719140,"Earl town, North Carolina",230,115
1600000US3719300,3719300,"East Arcadia town, North Carolina",667,277
1600000US3719320,3719320,"East Bend town, North Carolina",433,136
1600000US3719420,3719420,"East Flat Rock CDP, North Carolina",4287,677
1600000US3719620,3719620,"East Laurinburg town, North Carolina",322,61
1600000US3719740,3719740,"Eastover town, North Carolina",3698,22
1600000US3719800,3719800,"East Rockingham CDP, North Carolina",3397,506
1600000US3719860,3719860,"East Spencer town, North Carolina",1558,342
1600000US3720080,3720080,"Eden city, North Carolina",15235,52
1600000US3720120,3720120,"Edenton town, North Carolina",4800,19
1600000US3720280,3720280,"Edneyville CDP, North Carolina",2128,479
1600000US3720420,3720420,"Efland CDP, North Carolina",921,387
1600000US3720580,3720580,"Elizabeth City city, North Carolina",17732,44
1600000US3720600,3720600,"Elizabethtown town, North Carolina",3530,15
1600000US3720620,3720620,"Elkin town, North Carolina",4189,302
1600000US3720700,3720700,"Elk Park town, North Carolina",687,234
1600000US3720780,3720780,"Ellenboro town, North Carolina",1171,739
1600000US3720840,3720840,"Ellerbe town, North Carolina",828,203
1600000US3720980,3720980,"Elm City town, North Carolina",1496,357
1600000US3721095,3721095,"Elon town, North Carolina",9939,25
1600000US3721120,3721120,"Elrod CDP, North Carolina",705,203
1600000US3721130,3721130,"Elroy CDP, North Carolina",3405,538
1600000US3721160,3721160,"Emerald Isle town, North Carolina",3705,48
1600000US3721360,3721360,"Enfield town, North Carolina",2588,434
1600000US3721380,3721380,"Engelhard CDP, North Carolina",613,339
