Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US3744770,3744770,"Mountain View CDP, North Carolina",3308,713
1600000US3744800,3744800,"Mount Airy city, North Carolina",10198,71
1600000US3744900,3744900,"Mount Gilead town, North Carolina",1110,215
1600000US3744960,3744960,"Mount Holly city, North Carolina",14948,35
1600000US3745100,3745100,"Mount Olive town, North Carolina",4675,27
1600000US3745140,3745140,"Mount Pleasant town, North Carolina",2064,363
1600000US3745460,3745460,"Moyock CDP, North Carolina",3227,544
1600000US3745560,3745560,"Mulberry CDP, North Carolina",2132,396
1600000US3745640,3745640,"Murfreesboro town, North Carolina",2952,23
1600000US3745660,3745660,"Murphy town, North Carolina",1954,426
1600000US3745720,3745720,"Murraysville CDP, North Carolina",15111,1021
1600000US3745840,3745840,"Myrtle Grove CDP, North Carolina",10610,571
1600000US3745880,3745880,"Nags Head town, North Carolina",2855,19
1600000US3746000,3746000,"Nashville town, North Carolina",5473,19
1600000US3746060,3746060,"Navassa town, North Carolina",1556,354
1600000US3746280,3746280,"Neuse Forest CDP, North Carolina",1742,407
1600000US3746340,3746340,"New Bern city, North Carolina",29664,68
1600000US3746740,3746740,"Newland town, North Carolina",942,280
1600000US3746820,3746820,"New London town, North Carolina",618,135
1600000US3746860,3746860,"Newport town, North Carolina",4631,23
1600000US3747000,3747000,"Newton city, North Carolina",12991,24
1600000US3747020,3747020,"Newton Grove town, North Carolina",485,114
1600000US3747240,3747240,"Norlina town, North Carolina",1156,298
1600000US3747260,3747260,"Norman town, North Carolina",68,56
1600000US3747485,3747485,"Northchase CDP, North Carolina",3500,660
1600000US3747695,3747695,"Northlakes CDP, North Carolina",1332,319
1600000US3747845,3747845,"North Topsail Beach town, North Carolina",1061,147
1600000US3747860,3747860,"Northwest city, North Carolina",1065,250
1600000US3747880,3747880,"North Wilkesboro town, North Carolina",4217,18
1600000US3747980,3747980,"Norwood town, North Carolina",2787,433
1600000US3748040,3748040,"Oakboro town, North Carolina",1958,329
1600000US3748060,3748060,"Oak City town, North Carolina",292,91
1600000US3748345,3748345,"Oak Island town, North Carolina",7400,37
1600000US3748480,3748480,"Oak Ridge town, North Carolina",6728,28
1600000US3748700,3748700,"Ocean Isle Beach town, North Carolina",726,103
1600000US3748740,3748740,"Ocracoke CDP, North Carolina",404,176
1600000US3748790,3748790,"Ogden CDP, North Carolina",7608,564
1600000US3748920,3748920,"Old Fort town, North Carolina",944,212
1600000US3748940,3748940,"Old Hundred CDP, North Carolina",360,180
1600000US3749380,3749380,"Oriental town, North Carolina",1003,202
1600000US3749460,3749460,"Orrum town, North Carolina",82,32
1600000US3749600,3749600,"Ossipee town, North Carolina",495,135
1600000US3749800,3749800,"Oxford city, North Carolina",8614,36
1600000US3750080,3750080,"Pantego town, North Carolina",311,113
1600000US3750340,3750340,"Parkton town, North Carolina",494,141
1600000US3750540,3750540,"Parmele town, North Carolina",321,101
1600000US3750700,3750700,"Patterson Springs town, North Carolina",759,209
1600000US3750820,3750820,"Peachland town, North Carolina",463,156
1600000US3751040,3751040,"Peletier town, North Carolina",823,228
1600000US3751080,3751080,"Pembroke town, North Carolina",3059,30
1600000US3751780,3751780,"Pikeville town, North Carolina",771,185
1600000US3751820,3751820,"Pilot Mountain town, North Carolina",1647,220
1600000US3751840,3751840,"Pinebluff town, North Carolina",1340,206
1600000US3751940,3751940,"Pinehurst village, North Carolina",15580,24
1600000US3752000,3752000,"Pine Knoll Shores town, North Carolina",1409,125
1600000US3752020,3752020,"Pine Level town, North Carolina",2078,301
1600000US3752140,3752140,"Pinetops town, North Carolina",1123,156
1600000US3752160,3752160,"Pinetown CDP, North Carolina",132,76
1600000US3752220,3752220,"Pineville town, North Carolina",8418,26
1600000US3752260,3752260,"Piney Green CDP, North Carolina",13573,1119
1600000US3752400,3752400,"Pink Hill town, North Carolina",433,149
1600000US3752500,3752500,"Pinnacle CDP, North Carolina",1010,381
1600000US3752660,3752660,"Pittsboro town, North Carolina",4037,17
1600000US3752685,3752685,"Plain View CDP, North Carolina",2120,617
1600000US3752760,3752760,"Pleasant Garden town, North Carolina",4762,22
1600000US3752920,3752920,"Pleasant Hill CDP, North Carolina",751,308
1600000US3753040,3753040,"Plymouth town, North Carolina",3599,14
1600000US3753140,3753140,"Polkton town, North Carolina",3265,20
1600000US3753160,3753160,"Polkville city, North Carolina",555,119
1600000US3753200,3753200,"Pollocksville town, North Carolina",456,175
1600000US3753475,3753475,"Porters Neck CDP, North Carolina",7483,612
1600000US3753580,3753580,"Potters Hill CDP, North Carolina",616,332
1600000US3753680,3753680,"Powellsville town, North Carolina",205,86
1600000US3753820,3753820,"Princeton town, North Carolina",1046,276
1600000US3753840,3753840,"Princeville town, North Carolina",2208,363
1600000US3753900,3753900,"Proctorville town, North Carolina",138,49
1600000US3753950,3753950,"Prospect CDP, North Carolina",931,297
1600000US3754160,3754160,"Pumpkin Center CDP, North Carolina",1478,385
1600000US3754580,3754580,"Raeford city, North Carolina",4859,25
1600000US3754600,3754600,"Raemon CDP, North Carolina",166,87
1600000US3755000,3755000,"Raleigh city, North Carolina",449477,253
1600000US3755040,3755040,"Ramseur town, North Carolina",1848,293
1600000US3755080,3755080,"Randleman city, North Carolina",4127,17
1600000US3755260,3755260,"Ranlo town, North Carolina",3523,22
1600000US3755340,3755340,"Raynham town, North Carolina",72,30
1600000US3755460,3755460,"Red Cross town, North Carolina",732,149
1600000US3755640,3755640,"Red Oak town, North Carolina",3421,17
1600000US3755660,3755660,"Red Springs town, North Carolina",3462,27
1600000US3755900,3755900,"Reidsville city, North Carolina",13933,30
1600000US3755940,3755940,"Rennert town, North Carolina",439,88
1600000US3756100,3756100,"Rex CDP, North Carolina",25,39
1600000US3756240,3756240,"Rhodhiss town, North Carolina",1011,208
1600000US3756340,3756340,"Richfield town, North Carolina",601,146
1600000US3756360,3756360,"Richlands town, North Carolina",2197,516
1600000US3756440,3756440,"Rich Square town, North Carolina",915,185
1600000US3756600,3756600,"Riegelwood CDP, North Carolina",441,197
1600000US3756710,3756710,"River Bend town, North Carolina",3095,22
1600000US3756815,3756815,"River Road CDP, North Carolina",3387,389
1600000US3756900,3756900,"Roanoke Rapids city, North Carolina",15107,32
1600000US3757000,3757000,"Robbins town, North Carolina",1725,441
1600000US3757020,3757020,"Robbinsville town, North Carolina",514,181
1600000US3757100,3757100,"Robersonville town, North Carolina",1588,272
1600000US3757200,3757200,"Rockfish CDP, North Carolina",3476,504
1600000US3757260,3757260,"Rockingham city, North Carolina",9094,26
1600000US3757340,3757340,"Rockwell town, North Carolina",1839,339
1600000US3757500,3757500,"Rocky Mount city, North Carolina",55373,54
1600000US3757540,3757540,"Rocky Point CDP, North Carolina",1879,456
1600000US3757580,3757580,"Rodanthe CDP, North Carolina",120,109
1600000US3757640,3757640,"Rolesville town, North Carolina",6308,46
1600000US3757700,3757700,"Ronda town, North Carolina",619,206
1600000US3757740,3757740,"Roper town, North Carolina",658,259
1600000US3757800,3757800,"Roseboro town, North Carolina",1383,356
1600000US3757860,3757860,"Rose Hill town, North Carolina",2026,474
1600000US3758020,3758020,"Rosman town, North Carolina",598,189
1600000US3758040,3758040,"Rougemont CDP, North Carolina",847,255
1600000US3758140,3758140,"Rowland town, North Carolina",1223,165
1600000US3758160,3758160,"Roxboro city, North Carolina",8273,23
1600000US3758180,3758180,"Roxobel town, North Carolina",306,100
1600000US3758260,3758260,"Royal Pines CDP, North Carolina",4829,578
1600000US3758340,3758340,"Ruffin CDP, North Carolina",419,204
1600000US3758360,3758360,"Rural Hall town, North Carolina",3118,30
1600000US3758420,3758420,"Ruth town, North Carolina",525,183
1600000US3758440,3758440,"Rutherford College town, North Carolina",1143,333
1600000US3758460,3758460,"Rutherfordton town, North Carolina",4053,15
1600000US3758620,3758620,"St. Helena village, North Carolina",347,103
1600000US3758630,3758630,"St. James town, North Carolina",4747,12
1600000US3758720,3758720,"St. Pauls town, North Carolina",1897,265
1600000US3758730,3758730,"St. Stephens CDP, North Carolina",9004,686
1600000US3758740,3758740,"Salem CDP, North Carolina",2181,374
1600000US3758840,3758840,"Salemburg town, North Carolina",436,142
1600000US3758860,3758860,"Salisbury city, North Carolina",33561,45
1600000US3758920,3758920,"Saluda city, North Carolina",830,168
1600000US3758940,3758940,"Salvo CDP, North Carolina",269,244
1600000US3759090,3759090,"Sandy Creek town, North Carolina",245,87
1600000US3759135,3759135,"Sandyfield town, North Carolina",420,152
1600000US3759280,3759280,"Sanford city, North Carolina",29051,45
1600000US3759340,3759340,"Saratoga town, North Carolina",451,142
1600000US3759540,3759540,"Sawmills town, North Carolina",5161,22
1600000US3759580,3759580,"Saxapahaw CDP, North Carolina",1370,265
1600000US3759765,3759765,"Scotch Meadows CDP, North Carolina",666,231
1600000US3759780,3759780,"Scotland Neck town, North Carolina",1484,314
1600000US3759980,3759980,"Seaboard town, North Carolina",640,194
1600000US3760000,3760000,"Sea Breeze CDP, North Carolina",1775,479
1600000US3760080,3760080,"Seagrove town, North Carolina",313,90
1600000US3760180,3760180,"Sedalia town, North Carolina",548,137
1600000US3760320,3760320,"Selma town, North Carolina",6375,28
1600000US3760505,3760505,"Seven Devils town, North Carolina",258,52
1600000US3760515,3760515,"Seven Lakes CDP, North Carolina",4512,775
1600000US3760540,3760540,"Seven Springs town, North Carolina",79,39
1600000US3760560,3760560,"Severn town, North Carolina",228,84
1600000US3760800,3760800,"Shallotte town, North Carolina",3825,26
1600000US3760940,3760940,"Shannon CDP, North Carolina",343,204
1600000US3761060,3761060,"Sharpsburg town, North Carolina",2208,458
1600000US3761200,3761200,"Shelby city, North Carolina",20058,37
1600000US3761860,3761860,"Siler City town, North Carolina",8116,38
1600000US3761920,3761920,"Silver City CDP, North Carolina",893,248
1600000US3761950,3761950,"Silver Lake CDP, North Carolina",6669,594
1600000US3762040,3762040,"Simpson village, North Carolina",369,100
1600000US3762060,3762060,"Sims town, North Carolina",341,89
1600000US3762190,3762190,"Skippers Corner CDP, North Carolina",2705,556
1600000US3762520,3762520,"Smithfield town, North Carolina",11824,27
1600000US3762680,3762680,"Sneads Ferry CDP, North Carolina",2910,674
1600000US3762760,3762760,"Snow Hill town, North Carolina",1820,379
1600000US3763120,3763120,"Southern Pines town, North Carolina",13426,34
1600000US3763130,3763130,"Southern Shores town, North Carolina",2829,20
1600000US3763240,3763240,"South Henderson CDP, North Carolina",872,233
1600000US3763340,3763340,"South Mills CDP, North Carolina",192,108
1600000US3763360,3763360,"Southmont CDP, North Carolina",890,273
1600000US3763400,3763400,"Southport city, North Carolina",3452,17
1600000US3763470,3763470,"South Rosemary CDP, North Carolina",2488,487
1600000US3763560,3763560,"South Weldon CDP, North Carolina",626,186
1600000US3763680,3763680,"Sparta town, North Carolina",1726,318
1600000US3763720,3763720,"Speed town, North Carolina",68,40
1600000US3763760,3763760,"Spencer town, North Carolina",3247,25
1600000US3763780,3763780,"Spencer Mountain town, North Carolina",0,12
1600000US3763880,3763880,"Spindale town, North Carolina",4236,18
1600000US3763920,3763920,"Spivey's Corner CDP, North Carolina",456,182
1600000US3764160,3764160,"Spring Hope town, North Carolina",1567,294
1600000US3764180,3764180,"Spring Lake town, North Carolina",12746,74
1600000US3764260,3764260,"Spruce Pine town, North Carolina",2089,327
1600000US3764380,3764380,"Staley town, North Carolina",282,87
1600000US3764420,3764420,"Stallings town, North Carolina",14970,164
1600000US3764460,3764460,"Stanfield town, North Carolina",1475,246
1600000US3764500,3764500,"Stanley town, North Carolina",3614,38
1600000US3764560,3764560,"Stantonsburg town, North Carolina",790,142
1600000US3764580,3764580,"Star town, North Carolina",772,241
1600000US3764740,3764740,"Statesville city, North Carolina",25872,34
1600000US3764840,3764840,"Stedman town, North Carolina",1362,322
1600000US3764940,3764940,"Stem town, North Carolina",1029,315
1600000US3765020,3765020,"Stokes CDP, North Carolina",709,366
1600000US3765040,3765040,"Stokesdale town, North Carolina",5331,18
1600000US3765100,3765100,"Stoneville town, North Carolina",1442,261
1600000US3765120,3765120,"Stonewall town, North Carolina",255,84
1600000US3765260,3765260,"Stony Point CDP, North Carolina",2021,695
1600000US3765320,3765320,"Stovall town, North Carolina",375,130
1600000US3765530,3765530,"Sugar Mountain village, North Carolina",508,184
1600000US3765580,3765580,"Summerfield town, North Carolina",10957,62
1600000US3765700,3765700,"Sunbury CDP, North Carolina",167,102
1600000US3765900,3765900,"Sunset Beach town, North Carolina",3769,21
1600000US3766040,3766040,"Surf City town, North Carolina",3251,453
1600000US3766280,3766280,"Swannanoa CDP, North Carolina",4675,814
1600000US3766340,3766340,"Swan Quarter CDP, North Carolina",327,256
1600000US3766360,3766360,"Swansboro town, North Carolina",3090,18
1600000US3766460,3766460,"Swepsonville town, North Carolina",1637,259
1600000US3766500,3766500,"Sylva town, North Carolina",2612,37
1600000US3766520,3766520,"Tabor City town, North Carolina",3916,50
1600000US3766700,3766700,"Tarboro town, North Carolina",11038,27
1600000US3766740,3766740,"Tar Heel town, North Carolina",220,67
1600000US3766960,3766960,"Taylorsville town, North Carolina",2189,344
1600000US3766980,3766980,"Taylortown town, North Carolina",962,274
1600000US3767000,3767000,"Teachey town, North Carolina",366,151
1600000US3767420,3767420,"Thomasville city, North Carolina",26901,167
1600000US3767700,3767700,"Toast CDP, North Carolina",1392,326
1600000US3767720,3767720,"Tobaccoville village, North Carolina",2597,35
1600000US3768040,3768040,"Topsail Beach town, North Carolina",366,57
1600000US3768320,3768320,"Trenton town, North Carolina",315,116
1600000US3768340,3768340,"Trent Woods town, North Carolina",4117,21
1600000US3768400,3768400,"Trinity city, North Carolina",6610,47
1600000US3768500,3768500,"Troutman town, North Carolina",2593,23
1600000US3768520,3768520,"Troy town, North Carolina",3372,68
1600000US3768580,3768580,"Tryon town, North Carolina",1669,229
1600000US3768740,3768740,"Turkey town, North Carolina",242,97
1600000US3769020,3769020,"Tyro CDP, North Carolina",4252,634
1600000US3769260,3769260,"Unionville town, North Carolina",6497,21
1600000US3769520,3769520,"Valdese town, North Carolina",4408,19
1600000US3769600,3769600,"Valle Crucis CDP, North Carolina",298,110
1600000US3769640,3769640,"Valley Hill CDP, North Carolina",1923,354
1600000US3769680,3769680,"Vanceboro town, North Carolina",1224,297
1600000US3769720,3769720,"Vandemere town, North Carolina",233,85
1600000US3769740,3769740,"Vander CDP, North Carolina",1227,333
1600000US3769755,3769755,"Vann Crossroads CDP, North Carolina",294,210
1600000US3769795,3769795,"Varnamtown town, North Carolina",443,98
1600000US3769840,3769840,"Vass town, North Carolina",616,202
1600000US3770320,3770320,"Waco town, North Carolina",254,85
1600000US3770340,3770340,"Wade town, North Carolina",646,122
1600000US3770380,3770380,"Wadesboro town, North Carolina",5414,42
1600000US3770480,3770480,"Wagram town, North Carolina",749,108
1600000US3770540,3770540,"Wake Forest town, North Carolina",38473,297
1600000US3770580,3770580,"Wakulla CDP, North Carolina",87,136
1600000US3770660,3770660,"Walkertown town, North Carolina",4970,53
1600000US3770720,3770720,"Wallace town, North Carolina",3957,16
1600000US3770740,3770740,"Wallburg town, North Carolina",3061,30
1600000US3770780,3770780,"Walnut Cove town, North Carolina",1551,301
1600000US3770820,3770820,"Walnut Creek village, North Carolina",1062,208
1600000US3770860,3770860,"Walstonburg town, North Carolina",242,94
1600000US3770920,3770920,"Wanchese CDP, North Carolina",1619,251
1600000US3771100,3771100,"Warrenton town, North Carolina",948,186
1600000US3771160,3771160,"Warsaw town, North Carolina",3141,15
1600000US3771220,3771220,"Washington city, North Carolina",9721,45
1600000US3771240,3771240,"Washington Park town, North Carolina",568,194
1600000US3771320,3771320,"Watha town, North Carolina",198,70
1600000US3771440,3771440,"Waves CDP, North Carolina",67,93
1600000US3771460,3771460,"Waxhaw town, North Carolina",13343,37
1600000US3771500,3771500,"Waynesville town, North Carolina",9804,22
1600000US3771560,3771560,"Weaverville town, North Carolina",3857,22
1600000US3771600,3771600,"Webster town, North Carolina",442,108
1600000US3771680,3771680,"Weddington town, North Carolina",10388,28
1600000US3771760,3771760,"Welcome CDP, North Carolina",4319,664
1600000US3771780,3771780,"Weldon town, North Carolina",1793,319
1600000US3771860,3771860,"Wendell town, North Carolina",6516,25
1600000US3771900,3771900,"Wentworth town, North Carolina",2729,20
1600000US3771940,3771940,"Wesley Chapel village, North Carolina",8447,77
1600000US3772150,3772150,"West Canton CDP, North Carolina",1224,188
1600000US3772540,3772540,"West Jefferson town, North Carolina",1357,238
1600000US3772600,3772600,"West Marion CDP, North Carolina",1395,316
1600000US3772755,3772755,"Westport CDP, North Carolina",3942,398
1600000US3773140,3773140,"Whispering Pines village, North Carolina",3165,33
1600000US3773160,3773160,"Whitakers town, North Carolina",851,222
1600000US3773300,3773300,"White Lake town, North Carolina",1152,270
1600000US3773320,3773320,"White Oak CDP, North Carolina",121,77
1600000US3773460,3773460,"White Plains CDP, North Carolina",1086,251
1600000US3773660,3773660,"Whiteville city, North Carolina",5487,30
1600000US3773760,3773760,"Whitsett town, North Carolina",973,237
1600000US3774020,3774020,"Wilkesboro town, North Carolina",3488,40
1600000US3774220,3774220,"Williamston town, North Carolina",5398,30
1600000US3774440,3774440,"Wilmington city, North Carolina",115261,54
1600000US3774540,3774540,"Wilson city, North Carolina",49237,43
1600000US3774580,3774580,"Wilson's Mills town, North Carolina",2504,31
1600000US3774680,3774680,"Windsor town, North Carolina",3534,26
1600000US3774720,3774720,"Winfall town, North Carolina",624,172
1600000US3774760,3774760,"Wingate town, North Carolina",3867,22
1600000US3775000,3775000,"Winston-Salem city, North Carolina",240193,94
1600000US3775060,3775060,"Winterville town, North Carolina",9488,27
1600000US3775080,3775080,"Winton town, North Carolina",947,185
1600000US3775280,3775280,"Woodfin town, North Carolina",6394,23
1600000US3775340,3775340,"Woodland town, North Carolina",1118,305
1600000US3775375,3775375,"Woodlawn CDP, North Carolina",853,185
1600000US3775780,3775780,"Wrightsboro CDP, North Carolina",5642,814
1600000US3775820,3775820,"Wrightsville Beach town, North Carolina",2545,19
1600000US3775960,3775960,"Yadkinville town, North Carolina",2899,34
1600000US3776000,3776000,"Yanceyville town, North Carolina",2297,323
1600000US3776200,3776200,"Youngsville town, North Carolina",1602,304
1600000US3776220,3776220,"Zebulon town, North Carolina",4943,22
